message_id,subject,received_date,status,error_log,created_at,updated_at,source_file,so_number,block_code,block_reason,stage,conversation_id,attachments,sender_email
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmoAAA=,new po ,2026-07-29T10:27:37Z,PENDING,,2026-07-29 10:28:48,2026-07-29 10:28:48,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAP4LCiDSbMpDh-6c10Igj0k=,"I34-580_AAMkAGEz.pdf,I34-581_AAMkAGEz.pdf,I34-576_AAMkAGEz.pdf,I34-577_AAMkAGEz.pdf,I34-578_AAMkAGEz.pdf,I34-579_AAMkAGEz.pdf",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmnAAA=,new po ,2026-07-29T08:46:34Z,PENDING,,2026-07-29 08:48:09,2026-07-29 08:48:09,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAE0k9BqPQgRFiTGg8GnuVHg=,"Purchase order _ 849474 - ENVALIOR DEUTSCHLAND BE.pdf,Purchase order _ 849474 - ENVALIOR DEUTSCHLAND BE_AAMkAGEz.pdf",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmmAAA=,UAT ASOS Scenario 2,2026-07-29T08:04:17Z,PENDING,,2026-07-29 08:05:45,2026-07-29 08:05:45,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAEvaytw7N0aqqRdn-v1k3zg=,"body_AAMkAGEz_UAT ASOS Scenario 2.txt,image001_AAMkAGEz.png",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmlAAA=,UAT ASOS Scenario 3,2026-07-29T08:04:46Z,PENDING,,2026-07-29 08:05:34,2026-07-29 08:05:34,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAOQTpp6t8EVmidTjta_lSRo=,"body_AAMkAGEz_UAT ASOS Scenario 3.txt,image001_AAMkAGEz.png",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmkAAA=,ASOS Test Scenario 1,2026-07-29T07:48:57Z,PENDING,,2026-07-29 07:50:38,2026-07-29 07:50:38,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQALos7BBD50fWnW9d8VY2lGE=,"ASOS Test Scenario 1.pdf,image001_AAMkAGEz.png,ASOS Test Scenario 1_AAMkAGEz.pdf",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmjAAA=,ASOS Test Scenario 1,2026-07-29T07:41:26Z,PENDING,,2026-07-29 07:42:21,2026-07-29 07:42:21,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAC3ByPy5qUyOsJLARZ8iiJU=,"body_AAMkAGEz_ASOS Test Scenario 1.txt,image001_AAMkAGEz.png",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmgAAA=,PO,2026-07-29T01:30:34Z,PENDING,,2026-07-29 06:43:48,2026-07-29 06:43:48,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQADyYaUx3Z0SmpFER6j-IPHQ=,"TYNPOD20260317002_20260728065956.816_X.pdf,image001_AAMkAGEz.png,TYNPOD20260317002_20260728065956.816_X_AAMkAGEz.pdf",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACB-QmfAAA=,PO,2026-07-29T01:30:46Z,PENDING,,2026-07-29 06:40:27,2026-07-29 06:40:27,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQANboR38w5kyvhIbEpH9bn20=,"TYNPOD20260320001_20260728070042.596_X.pdf,image001.png,TYNPOD20260320001_20260728070042.596_X_AAMkAGEz.pdf,image001_AAMkAGEz.png",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACAdAmUAAA=,FW: ENVALIOR SINGAPORE PTE. LTD. New Order 121020153848,2026-07-28T12:59:52Z,PENDING,,2026-07-28 13:00:46,2026-07-28 13:00:46,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAHVmE48Iyf1Hms6zhvC71g4=,"1946d8e6-ae6d-4aee-8dc1-2d80ce27e7c9.pdf,1946d8e6-ae6d-4aee-8dc1-2d80ce27e7c9_AAMkAGEz.pdf",
AAMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwBGAAAAAAC7qJY7ZJJBT5IP79n-R0j-BwCJ1AznZ0-uRrG_5NNdUHgAAABL8we5AACJ1AznZ0-uRrG_5NNdUHgAAACAdAmTAAA=,Undeliverable: [PO Exception - UNKNOWN] AI Processing Failed — general-terms-and-conditions-of-purchase_mcg-emea-en_aamkagez.pdf,2026-07-28T10:09:09Z,PENDING,,2026-07-28 10:11:24,2026-07-28 10:11:24,,,,,1,AAQkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAQAANw37DOSRRHhFET-NfbjWY=,"[PO Exception - UNKNOWN] AI Processing Failed — general-terms-and-conditions-of-purchase_mcg-emea-en_aamkagez.pdf.eml,[PO Exception - UNKNOWN] AI Processing Failed — general-terms-and-conditions-of-purchase_mcg-emea-en_aamkagez.pdf_AAMkAGEz.eml",
