PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Customer Material Code,Extracted Material Code,Customer Group 2,SO Grouping Rule,Employee Responsible,Email Responsible,Sender Email,Source File,Run Timestamp
I34/0000576,31-03-2026,09-04-2026,Sistemas Técnicos del Accesorio y,Envalior B.V.,4020044282,2540,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020044282,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,09-04-2026,50503,STM-MP-DURB29,STM-MP-DURB29,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,I34-576.pdf,29-07-2026 23:46
I34/0000577,31-03-2026,10-04-2026,Sistemas Técnicos del Accesorio y,Envalior B.V.,4020044282,2540,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020044282,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,10-04-2026,50503,STM-MP-DURB29,STM-MP-DURB29,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,I34-577.pdf,29-07-2026 23:46
I34/0000578,31-03-2026,13-04-2026,Sistemas Técnicos del Accesorio y,Envalior B.V.,4020044282,2540,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020044282,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,13-04-2026,50503,STM-MP-DURB29,STM-MP-DURB29,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,I34-578.pdf,29-07-2026 23:46
I34/0000579,31-03-2026,14-04-2026,Sistemas Técnicos del Accesorio y,Envalior B.V.,4020044282,2540,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020044282,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,14-04-2026,50503,STM-MP-DURB29,STM-MP-DURB29,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,I34-579.pdf,29-07-2026 23:46
I34/0000580,31-03-2026,14-04-2026,Sistemas Técnicos del Accesorio y,Envalior B.V.,4020044282,2540,TA,X,4020044845,Sistemas Technicos del Accesorio y Sistemas Technicos del Accesorio yComponentes S.L. Componentes S.L.,4020044282,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,14-04-2026,50503,STM-MP-DURB29,STM-MP-DURB29,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,I34-580.pdf,29-07-2026 23:46
I34/0000581,31-03-2026,15-04-2026,Sistemas Técnicos del Accesorio y,Envalior B.V.,4020044282,2540,TA,X,4020036662,Envalior Deutschland GmbH Envalior Deutschland GmbH,4020044282,PA 6 LV ENVALIOR DURETHAN B29,22000,KG,15-04-2026,50503,STM-MP-DURB29,STM-MP-DURB29,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,I34-581.pdf,29-07-2026 23:46
849474,26-07-2024,12-08-2026,Mitsubishi Chemical,Envalior B.V.,4020042625,2540,TA,X,4020042625,Mitsubishi Chemical Mitsubishi ChemicalAdvanced Materials B.V. Advanced Materials B.V.,4020042625,"CAPROLACTAM EU, Item No: 06030000976",28000,KG,12-08-2026,53398,6030000976,6030000976,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,Purchase order _ 849474 - ENVALIOR DEUTSCHLAND BE.pdf,29-07-2026 23:46
26003731,23-07-2026,22-09-2026,UFI FILTERS Czech s.r.o,Envalior B.V.,4020037210,2540,TA,X,4020025277,"DKSH VIETNAM CO LTD DKSH VIETNAM CO LTD23 Doc Lap Boulevard, 23 Doc Lap Boulevard,",4020037210,DUR. DP AKV 50 HR H2.0 900116 Rev.Lev.: A,22000,KG,22-09-2026,51443,33.11,33.11,-,ONE SO PER PO,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,26003731.pdf,29-07-2026 23:46
450012469,17-10-2025,15-01-2026,Nagase Singapore (Pte) Ltd,Envalior B.V.,4020039258,2780,TA,X,4020039258,Nagase Singapore (Pte) Ltd Nagase Singapore (Pte) Ltd,4020039258,POCAN B 4215 901510 POS013,3000,KG,15-01-2026,50434,POCAN B 4215 901510 POS013,100876583,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,450012469 Pocan (2).pdf,29-07-2026 23:46
460031761,26-06-2026,24-08-2026,NAGASE SINGAPORE (PTE) LTD,Envalior B.V.,4020011579,2700,TA,X,4020035300,"PT. PLASMOTECH BATAM PT. PLASMOTECH BATAMEXECUTIVE INDUSTRIAL PARK, EXECUTIVE INDUSTRIAL PARK,",4020011579,POCAN BF4239-700350 S103 (ARNITE TV4261SF KN.01.74.),1000,KG,24-08-2026,48511,,100625647,-,ONE SO PER PO,XUDONG SUN,XUDONG.SUN@ENVALIOR.COM,XUDONG.SUN@ENVALIOR.COM,460031761 POCAN BF4239-700350 S103 (3).pdf,29-07-2026 23:46
DEUTSCHE,07-04-2026,25-08-2026,Sistema SRL,Envalior B.V.,4020000177,2500,TA,X,4020040559,SISTEMA S.R.L. SISTEMA S.R.L.,4020000177,STANYL TW241 F10 BLACK,13750,KG,25-08-2026,944,MATP237,MATP237,-,ONE SO PER PO,LIZA BETY,CUSTOMERCARE-EU05@ENVALIOR.COM,CUSTOMERCARE-EU05@ENVALIOR.COM,97.PDF,29-07-2026 23:46
71261759,20-07-2026,19-08-2026,Röchling Industrial Nové Město NM s.r.o,Envalior B.V.,4020042628,2540,TA,X,4020042628,Röchling Industrial Nové Město NM s.r.o Röchling Industrial Nové Město NM s.r.o,4020042628,Caprolactam fluessig,25000,KG,19-08-2026,53398,H16EK00001,H16EK00001,Z01,SEPARATE SO PER ITEM,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,Bestellung-71261759.pdf,29-07-2026 23:46
71261759,20-07-2026,19-08-2026,Röchling Industrial Nové Město NM s.r.o,Envalior B.V.,4020042628,2540,TA,X,4020042628,Röchling Industrial Nové Město NM s.r.o Röchling Industrial Nové Město NM s.r.o,4020042628,Caprolactam fluessig,25000,KG,24-08-2026,53398,H16EK00001,H16EK00001,Z01,SEPARATE SO PER ITEM,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,Bestellung-71261759.pdf,29-07-2026 23:46
71261759,20-07-2026,19-08-2026,Röchling Industrial Nové Město NM s.r.o,Envalior B.V.,4020042628,2540,TA,X,4020042628,Röchling Industrial Nové Město NM s.r.o Röchling Industrial Nové Město NM s.r.o,4020042628,Caprolactam fluessig,25000,KG,31-08-2026,53398,H16EK00001,H16EK00001,Z01,SEPARATE SO PER ITEM,CHRISTIAN BURWINKEL,CUSTOMERCARE-EU@ENVALIOR.COM,CUSTOMERCARE-EU@ENVALIOR.COM,Bestellung-71261759.pdf,29-07-2026 23:46
135420,27-07-2026,05-08-2026,TER HELL Plastic GmbH,Envalior B.V.,4020001235,2500,TA,X,4020029465,Globe Tyre Logistics Center Globe Tyre Logistics Center,4020001235,ARNITEL ECO M700 Natural NA99001,20,KG,05-08-2026,34403,,ARNITEL ECO M700,-,ONE SO PER PO,LIZA BETY,CUSTOMERCARE-EU05@ENVALIOR.COM,CUSTOMERCARE-EU05@ENVALIOR.COM,BE_135420.PDF,29-07-2026 23:46
