PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP
1002134183,0001536294,SUCCESS,,,,2540,Arcelik A.S,PO_1002134183.pdf,2026-07-28T08:59:53.272709
121020152581,0001536237,SUCCESS,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO. FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,5fa2eb99-4d93-465e-941b-de15f12b852f.pdf,2026-07-28T08:59:53.272709
933,0001536259,SUCCESS,,,,2545,Scherer s.r.l.,BESTELLUNG 933_ENVALIOR.PDF,2026-07-28T08:59:53.272709
SZM260565,0001536343,SUCCESS,,,,2540,Siroma Plast Kft,SZM260565.pdf,2026-07-28T08:59:53.272709
4500090052,0001536295,SUCCESS,,,,2540,Elbromplast SA,4500090052.pdf,2026-07-28T08:59:53.272709
4501472708,0001536344,SUCCESS,,,,2540,Mondi Styria GmbH,4501472708.pdf,2026-07-28T08:59:53.272709
121020152431,0001536236,SUCCESS,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO. FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,3763c3e9-282f-4e58-9711-ea5b9909e31b.pdf,2026-07-28T08:59:53.272709
130004813,0001536345,SUCCESS,,,,2540,MONOSUISSE RO S.R.L,Purchase Order - 130004813.pdf,2026-07-28T08:59:53.272709
300045803,0001536346,SUCCESS,,,,2700,OMNI-PLUS SYSTEM LIMITED,300045803.pdf,2026-07-28T08:59:53.272709
4504163221,0001536313,SUCCESS,,,,2710,BANDO KAGAKU BANDO KAGAKUDENDO JIGYOBU DENDO JIGYOBU,4504163221_20260716060400.470_X.pdf,2026-07-28T08:59:53.272709
4505150339,0001536347,SUCCESS,,,,2540,Faurecia Hydrogen Solutions,ENVALIOR - 4505150339 - 2026.07.15 - PA6 pour Liners chez Kautex - Duplicata.pdf,2026-07-28T08:59:53.272709
550754,0001536348,SUCCESS,,,,2701,菲尼克斯亚太电气 菲尼克斯亚太电气(南京) 有限公司 (南京),200017-550754_20260716150109.662_X.pdf,2026-07-28T08:59:53.272709
BX2026070901,0001536349,SUCCESS,,,,2701,奔旭精密科技（宁波）有限公司 奔旭精密科技（宁波）有限,BX2026070901 奔旭精密科技（宁波）有限公司.pdf,2026-07-28T08:59:53.272709
HAC/PUR/05/1458,0001536266,SUCCESS,,,,2720,Home Appliance Co.,PO ENVAILOR.PDF,2026-07-28T08:59:53.272709
079A,0001536277,SUCCESS,,,,2721,Teklight Components Pvt Ltd,079A.pdf,2026-07-28T08:59:53.272709
72367555,0001536334,SUCCESS,,,,2500,Maincor Rohrsysteme GmbH & Co. KG,"Bestellung;72367555 (Infor AS, MC).pdf",2026-07-28T08:59:53.272709
90004898,0001536261,SUCCESS,,,,2720,Sentec India Company Pvt. Ltd.,PO-90004898 (Envalior).pdf,2026-07-28T08:59:53.272709
P2026070003850,0001536440,SUCCESS,,,,2710,"GLOBAL POLYACETAL CO., LTD.",GPAC注文書_1000030223GK101_20260721140822921.pdf,2026-07-28T08:59:53.272709
PO263152,0001536309,SUCCESS,,,,2540,RADKA spol. s.r.o. Pardubice,body_AAMkAGEz_FW_ Envalior New order - 0001552110 (PO263152) for RADKA spol. s.r,2026-07-28T08:59:53.272709
133,0001536335,SUCCESS,,,,2545,Sistema SRL,133.PDF,2026-07-28T08:59:53.272709
197442,0001536336,SUCCESS,,,,2540,Fiberweb France SAS,OA197442_ENVALIOR DEUTSCHLAND GMBH.pdf,2026-07-28T08:59:53.272709
4504165004,0001536441,SUCCESS,,,,2710,BANDO KAGAKU BANDO KAGAKUDENDO JIGYOBU DENDO JIGYOBU,4504165004_20260721040217.001_X.pdf,2026-07-28T08:59:53.272709
OP30001261,0001536337,SUCCESS,,,,2730,OMNI-PLUS SYSTEM LIMITED,OP30001261.pdf,2026-07-28T08:59:53.272709
P00QJXN,0001536442,SUCCESS,,,,2710,ASAHI KASEI ADVANCE CORPORATION ASAHI KASEI ADVANCE CORPORATIONPerformance Plast,注文書.pdf,2026-07-28T08:59:53.272709
PO2607000019,0001536443,SUCCESS,,,,2760,"Valeo Samsung Thermal Systems Co., Ltd.",[우주테크] 삼성발레오_20260714 납기 발주건 (1)_AAMkAGEz.pdf,2026-07-28T08:59:53.272709
150,0001536338,SUCCESS,,,,2545,Sistema SRL,150.PDF,2026-07-28T08:59:53.272709
5260404,0001536310,SUCCESS,,,,2540,Kora a.s,Objednávka_5260404_20260512_084548.pdf,2026-07-28T08:59:53.272709
10260859,0001536339,SUCCESS,,,,2540,Gaudlitz Precision s.r.o,"10260859 - Envalior Deutschland GmbH, G0000559-00 Durethan BKV140 H2.0 900051 DU",2026-07-28T08:59:53.272709
12545,0001536284,SUCCESS,,,,2610,"DIVERSIFIED ENGINEERING & PLASTICS, LLC",DEP_PURCHORD_MATERIAL.pdf,2026-07-28T08:59:53.272709
2415935002,0001536444,SUCCESS,,,,2540,Covestro Deutschland AG,2415935002.pdf,2026-07-28T08:59:53.272709
4500090003,0001536297,SUCCESS,,,,2540,BOURBON Automotive Plastic Nitra,PO 4500090003.pdf,2026-07-28T08:59:53.272709
4500749415,0001536248,SUCCESS,,,,2600,PURE FISHING AMERICA,4500749415 118680 0020.pdf,2026-07-28T08:59:53.272709
