PO_NUMBER,SO_NUMBER,STATUS,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP
1002134183,1536294,SUCCESS,2540,Arcelik A.S,PO_1002134183.pdf,2026-07-28T08:59:53.272709
1.2102E+11,1536237,SUCCESS,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO. FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,5fa2eb99-4d93-465e-941b-de15f12b852f.pdf,2026-07-28T08:59:53.272709
933,1536259,SUCCESS,2545,Scherer s.r.l.,BESTELLUNG 933_ENVALIOR.PDF,2026-07-28T08:59:53.272709
SZM260565,1536343,SUCCESS,2540,Siroma Plast Kft,SZM260565.pdf,2026-07-28T08:59:53.272709
4500090052,1536295,SUCCESS,2540,Elbromplast SA,4500090052.pdf,2026-07-28T08:59:53.272709
4501472708,1536344,SUCCESS,2540,Mondi Styria GmbH,4501472708.pdf,2026-07-28T08:59:53.272709
1.2102E+11,1536236,SUCCESS,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO. FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,3763c3e9-282f-4e58-9711-ea5b9909e31b.pdf,2026-07-28T08:59:53.272709
130004813,1536345,SUCCESS,2540,MONOSUISSE RO S.R.L,Purchase Order - 130004813.pdf,2026-07-28T08:59:53.272709
300045803,1536346,SUCCESS,2700,OMNI-PLUS SYSTEM LIMITED,300045803.pdf,2026-07-28T08:59:53.272709
4504163221,1536313,SUCCESS,2710,BANDO KAGAKU BANDO KAGAKUDENDO JIGYOBU DENDO JIGYOBU,4504163221_20260716060400.470_X.pdf,2026-07-28T08:59:53.272709
4505150339,1536347,SUCCESS,2540,Faurecia Hydrogen Solutions,ENVALIOR - 4505150339 - 2026.07.15 - PA6 pour Liners chez Kautex - Duplicata.pdf,2026-07-28T08:59:53.272709
550754,1536348,SUCCESS,2701,菲尼克斯亚太电气 菲尼克斯亚太电气(南京) 有限公司 (南京),200017-550754_20260716150109.662_X.pdf,2026-07-28T08:59:53.272709
BX2026070901,1536349,SUCCESS,2701,奔旭精密科技（宁波）有限公司 奔旭精密科技（宁波）有限,BX2026070901 奔旭精密科技（宁波）有限公司.pdf,2026-07-28T08:59:53.272709
HAC/PUR/05/1458,1536266,SUCCESS,2720,Home Appliance Co.,PO ENVAILOR.PDF,2026-07-28T08:59:53.272709
079A,1536277,SUCCESS,2721,Teklight Components Pvt Ltd,079A.pdf,2026-07-28T08:59:53.272709
72367555,1536334,SUCCESS,2500,Maincor Rohrsysteme GmbH & Co. KG,"Bestellung;72367555 (Infor AS, MC).pdf",2026-07-28T08:59:53.272709
90004898,1536261,SUCCESS,2720,Sentec India Company Pvt. Ltd.,PO-90004898 (Envalior).pdf,2026-07-28T08:59:53.272709
