PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Extracted Material Code,Source File
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,21/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,22/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,22/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,23/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,26/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,27/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,27/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 SILO DSM,25000,KG,28/01/2026,0000011284,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4674421,26/11/2025,11/12/2025,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 OCTABIN DSM,22000,KG,11/12/2025,0000008677,8305516,Ecoform Multifol (Sold-to 4020000777 - Material 8677).PDF
4674421,26/11/2025,11/12/2025,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020000777,2500,TA,X,4020011000,Dachser SE,4020000777,PA-AKULON F132-E1 OCTABIN DSM,22000,KG,15/12/2025,0000008677,8305516,Ecoform Multifol (Sold-to 4020000777 - Material 8677).PDF
121020132410,19/09/2025,05/11/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TE248F6 MOON GRAY1 GY86003; 入庫倉: MWK10NFT,2000,KG,19/11/2025,0000016552,901-11D6-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
121020132410,19/09/2025,05/11/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TS200F6 B-MB GY86015 Moon Gray 1; 入庫倉: MWK10NFT,1000,KG,19/11/2025,0000047206,901-59P9-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
121020132410,19/09/2025,05/11/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TS200F6 B-MB NATURAL; 入庫倉: MWK10NFT,1000,KG,05/11/2025,0000061262,901-84P9-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
121020132410,19/09/2025,05/11/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,TS200F6/A MB GY86003S MOON GRAY 1; 入庫倉: MWK10NFT,1000,KG,05/11/2025,0000061457,901-40R2-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
121020134314,20/10/2025,03/12/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,"塑膠粒 H25 Purple 3-PM18, TS200F6/A MB_VI62100 入庫倉:MBK10NFT",1000,kg,03/12/2025,0000061026,901-42R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
121020134314,20/10/2025,03/12/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,"塑膠粒 H25 Black 7-PM6, TS200F6/A MB, BK29036 入庫倉:MBK10NFT",1000,kg,03/12/2025,0000060900,901-44R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
121020134314,20/10/2025,03/12/2025,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,Stanyl TS200F6 A-MB H25 Orange 2-PM6_OR63400 入庫倉:MBK10NFT,1000,kg,03/12/2025,0000060993,901-51R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
121080096386,28/10/2025,18/11/2025,上海金骏程新材料科技有限公司,Envalior B.V.,4020036720,,,X,4020038818,浙江丰源,4020036720,TE250F8 33104 WHITE; APN: M9R10NFT,2000,KG,18/11/2025,,901-0125-002,Fuyu Electronical Technology (Sold-to 4020036720 - Material 15219).pdf
121080096833,05/11/2025,05/12/2025,上海金骏程新材料科技有限公司,Envalior B.V.,4020036720,,,X,4020038818,浙江丰源,4020036720,NYLON PA4T TX1 BLACK DSM,1000,KG,05/12/2025,,901-01M8-002,Fuyu Electronical Technology (Sold-to 4020036720 - Material 48029).pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,03/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,05/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,10/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,12/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,17/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,19/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,24/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,KG,26/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,14/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,16/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,21/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE25-00614,17/09/2025,14/10/2025,,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,28/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,KG,12/12/2025,0000014885,Akulon F130-C2,MF Folien (Sold-to 4020001301 - Material 14885).pdf
