PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Extracted Material Code,Source File
1014253006,15/12/2025,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF NATURAL UL94V-0,1000,KGM,16/01/2026,,0899920793,1014253006.pdf
1014253006,15/12/2025,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF NATURAL UL94V-0,1000,KGM,26/01/2026,,0899920793,1014253006.pdf
1014340779,08/01/2026,16/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 50% GF BLACK UL94HB,300000,KGM,16/01/2026,,0899921583,1014340779.pdf
1014374731,16/01/2026,28/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 50% GF BLACK UL94HB,25000,KGM,28/01/2026,,0899921583,1014374731.pdf
1014374731,16/01/2026,28/01/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 50% GF BLACK UL94HB,25000,KGM,28/01/2026,,0899921583,1014374731_AQMkAGEz.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF BLACK UL94V-0,100000,KGM,19/02/2026,,STANYL_TS250F6D_9B0040_BLACK,1014458377.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF BLACK UL94V-0,200000,KGM,06/04/2026,,STANYL_TS250F6D_9B0040_BLACK,1014458377.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF BLACK UL94V-0,100000,KGM,19/02/2026,,STANYL_TS250F6D_9B0040_BLACK,1014458377_AQMkAGEz.pdf
1014458377,05/02/2026,19/02/2026,,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 30% GF BLACK UL94V-0,200000,KGM,06/04/2026,,STANYL_TS250F6D_9B0040_BLACK,1014458377_AQMkAGEz.pdf
K02009,23/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,ｽﾀﾆｰﾙTS-341-N 25Kg 紙袋,600,KG,02/02/2026,,M460101200-R01,4504063626.pdf
K02009,23/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,ｽﾀﾆｰﾙTS-341-N 25Kg 紙袋,500,KG,03/02/2026,,M460101200-R01,4504063626.pdf
K02009,29/01/2026,02/02/2026,,Envalior B.V.,,,,X,,,0088104000,46 TW363/00001 25kg 紙袋,100,KG,02/02/2026,,M460100900-R01,4504066422.pdf
121020125612,17/06/2025,23/07/2025,,Envalior B.V.,,,,X,,,0088104000,PA46 Envalior TS200F6 black,1000.000,kg,30/07/2025,,901-22G1-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
121020125612,17/06/2025,23/07/2025,,Envalior B.V.,,,,X,,,0088104000,Stanyl HFX31SW JUST WHITE,1000.000,kg,23/07/2025,,901-01M7-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
121020125612,17/06/2025,23/07/2025,,Envalior B.V.,,,,X,,,0088104000,TS200F6 B-MB DSM PA46 (BLACK BK24003),1000.000,kg,23/07/2025,,901-61P9-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
121020125612,17/06/2025,23/07/2025,,Envalior B.V.,,,,X,,,0088104000,TS200F6/A MB BL69100,1000.000,kg,30/07/2025,,901-35R2-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
BE-25-01212,09/05/2025,28/05/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F-X22092,22000,kg,28/05/2025,,Akulon F-X22092,Bestellung BE-25-01212.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,kg,12/12/2025,,Akulon F130-C2,Bestellung BE-25-02803.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,kg,15/12/2025,,Akulon F130-C2,Bestellung BE-25-02803.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,kg,16/12/2025,,Akulon F130-C2,Bestellung BE-25-02803.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,03/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,05/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,10/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,12/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,17/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,19/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,03/02/2026,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,27000,kg,24/02/2026,,Akulon F130-C2,Bestellung BE-26-00192.pdf
