PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Extracted Material Code,Source File
121020125612,2025/06/17,,房素鳳,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,料號描述:PA46 Envalior TS200F6 black,1000,kg,30/07/2025,,901-22G1-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
121020125612,2025/06/17,,房素鳳,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,料號描述:Stanyl HFX31SW 入庫倉:MBK10NFT,1000,kg,23/07/2025,,901-01M7-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
121020125612,2025/06/17,,房素鳳,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,料號描述:TS200F6 B-MB DSM PA46 (BLACK) 入庫倉:MBK10NFT,1000,kg,23/07/2025,,901-61P9-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
121020125612,2025/06/17,,房素鳳,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,料號描述:TS200F6/A MB BL69100 入庫倉:MBK10NFT,1000,kg,30/07/2025,,901-35R2-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,03/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,05/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,10/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,12/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,17/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,19/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,24/02/2026,,,Bestellung BE-26-00192.pdf
BE-26-00192,15/01/2026,,4020001301,Mf-Folien GmbH,,,,X,,,4020040520,Akulon F130-C2,27000,kg,26/02/2026,,,Bestellung BE-26-00192.pdf
BE25-00614,17/09/2025,,VF Verpackungen GmbH,Envalior B.V.,4020000825,2500,TA,X,4020007257,VF-Verpackungen GmbH,4020000825,F 132-E1,24000,KG,14/10/2025,,111102,BestellungBE25-00614_20260211164808.475_X.pdf
0004675827,08/12/2025,,Südpack Oak Creek Corporation,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,kg,23/01/2026,,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
0004675827,08/12/2025,,Südpack Oak Creek Corporation,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,kg,26/01/2026,,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
0004675827,08/12/2025,,Südpack Oak Creek Corporation,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,kg,27/01/2026,,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
0004675827,08/12/2025,,Südpack Oak Creek Corporation,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 SILO DSM,25000,kg,28/01/2026,,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
0004674421,26/11/2025,,Südpack Oak Creek Corporation,Envalior B.V.,,,,X,,,0088104000,PA-AKULON F132-E1 OCTABIN DSM,22000,kg,15/12/2025,,8305516,Ecoform Multifol (Sold-to 4020000777 - Material 8677).PDF
121020134314,20/10/2025,,房素鳳,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,料號描述:塑膠粒 H25 Purple 3-,1000,kg,03/12/2025,,901-42R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
