PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Extracted Material Code,Source File
AX#,2026/01/23,,DSM,Envalior B.V.,E90045,,,X,,,E90045,25Kg,1600,KG,,,M460101200-R01,4504063626.pdf
AX#,2026/01/23,,DSM,Envalior B.V.,E90045,,,X,,,E90045,500 KG,2,KG,,,M460101200-R01,4504063626.pdf
T121020125612,2025/06/17,,VSG0010678,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,PA46 Envalior TS200F6 black,1000,kg,30/07/2025,,901-22G1-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
T121020125612,2025/06/17,,VSG0010678,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,StanyI HFX31SW JUST WHITE,1000,kg,23/07/2025,,901-01M7-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
T121020125612,2025/06/17,,VSG0010678,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,:TS200F6 B-MB DSM PA46 (BLACK),1000,kg,23/07/2025,,901-61P9-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
T121020125612,2025/06/17,,VSG0010678,Envalior Singapore Pte. Ltd.,,,,X,,,0088107300,TS200F6/A MB BL69100,1000,kg,30/07/2025,,901-35R2-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
BE-26-00192,15/01/2026,,Mf-Folien GmbH,Envalior B.V.,4020040520,,,X,4020040520,Mf-Folien GmbH,4020040520,Akulon F130-C2,27000,kg,03/02/2026,,,Bestellung BE-26-00192.pdf
K00162,17/09/2025,,WITTE Niederberg GmbH,Envalior B.V.,4020039975,,,X,4020039975,WITTE Niederberg GmbH,4020039975,F 132-E1,24000,KG,14/10/2025,,11110201,BestellungBE25-00614_20260211164808.475_X.pdf
4675827,08/12/2025,21/01/2026,Ecoform Multifol Verpackungsfolien,Envalior B.V.,4020015417,,,X,4020015417,Ecoform Multifol Verpackungsfolien,4020015417,PA-AKULON F132-E1,25000,kg,21/01/2026,,8305515,Ecoform Multifol (Sold-to 4020000777 - Material 11284).PDF
4674421,26/11/2025,11/12/2025,ECOFORM MULTIFOL,Envalior B.V.,E01514,,,X,,,E01514,PA-AKULON F132-E1,22000,kg,11/12/2025,,00010,Ecoform Multifol (Sold-to 4020000777 - Material 8677).PDF
T121020132410,2025/09/19,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior Singapore Pte. Ltd.,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,H901-11D6-002,2000,kg,19/11/2025,0000016552,901-11D6-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
T121020132410,2025/09/19,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior Singapore Pte. Ltd.,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,TS200F6/B-MB/GY86003/Moon Gray,1000,kg,19/11/2025,0000047206,901-59P9-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
T121020132410,2025/09/19,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior Singapore Pte. Ltd.,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,TS200F6/B-MB/Natural,1000,kg,05/11/2025,0000061262,901-84P9-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
T121020132410,2025/09/19,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior Singapore Pte. Ltd.,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,TS200F6/A/MB/GY86003S/Moon Gray,1000,kg,05/11/2025,0000061457,901-40R2-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
121020134314,2025/10/20,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,IEWRA,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,"H25 Purpl 3-PM6,TS200F6/A",1000,kg,03/12/2025,0000061026,901-42R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
121020134314,2025/10/20,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,IEWRA,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,"H25 Black7-PM6,TS200F6/A",1000,kg,03/12/2025,0000060900,901-44R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
121020134314,2025/10/20,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,IEWRA,4020010339,2730,TA,X,4020010489,富士康（昆山）紫竹路889号电发老厂,4020010339,"H25 Orange 2-PM6,TS200F6/A",1000,kg,03/12/2025,0000060993,901-51R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
121080096386,2025/10/28,,Fuyu Electronical Technology (Huaia,Envalior B.V. (or Envalior / DSM),4020010504,2730,TA,X,4020010504,Huai'an Xinning public bonded wareh,4020010504,TE250F8 33104 WHITE,2000,kg,18/11/2025,0000015219,901-0125-002,Fuyu Electronical Technology (Sold-to 4020036720 - Material 15219).pdf
121080096833,2025/11/05,,Fuyu Electronical Technology (Huaia,Envalior Singapore Pte. Ltd.,4020010504,2730,TA,X,4020010504,Huai'an Xinning public bonded wareh,4020010504,HNY1-01M8-002,1000,kg,05/12/2025,0000048029,901-01M8-002,Fuyu Electronical Technology (Sold-to 4020036720 - Material 48029).pdf
BE-25-02803,01/12/2025,,Mf-Folien GmbH,Envalior B.V.,4020040520,,,X,4020040520,Mf-Folien GmbH,4020040520,Akulon F130-C2,25000,kg,12/12/2025,,,MF Folien (Sold-to 4020001301 - Material 14885).pdf
BE-25-02803,01/12/2025,,Mf-Folien GmbH,Envalior B.V.,4020040520,,,X,4020040520,Mf-Folien GmbH,4020040520,Akulon F130-C2,25000,kg,15/12/2025,,,MF Folien (Sold-to 4020001301 - Material 14885).pdf
BE-25-02803,01/12/2025,,Mf-Folien GmbH,Envalior B.V.,4020040520,,,X,4020040520,Mf-Folien GmbH,4020040520,Akulon F130-C2,25000,kg,16/12/2025,,,MF Folien (Sold-to 4020001301 - Material 14885).pdf
1014235554,11/12/2025,05/02/2026,Molex Interconnect (Shanghai) Co. L,Molex Interconnect (Shanghai) Co. L,4020007068,,,X,4020007068,Molex Interconnect (Shanghai) Co. L,4020007068,0899922173,2000,KG,05/02/2026,,,Molex PO1014235554_20251211_042406.pdf
