PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,RFC_ERROR_CODE,RFC_MESSAGE,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP,_extracted_at,_source_table
11923197,0001536507,SUCCESS,,,,,,2700,Pegasus Polymers Pte. Ltd,Purchase Order  (11923197) (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1371761,0001536622,SUCCESS,,,,,,2500,ABB Cable Management Products Ltd,1371761.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1813,0001536623,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 930.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1957,0001536624,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 948.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
2315,0001536625,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 961.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
26 055138 A2,0001536626,SUCCESS,,,,,,2545,Scame Mastaf SpA,55138_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
26-111,0001536627,SUCCESS,,,,,,2540,Mobi Stil Prod S.r.l.,PO 26-111.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
37774,0001536628,SUCCESS,,,,,,2500,STEBRO PLAST AB,Sold-to 4020032023 - Material 29476.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4500092941,0001536629,SUCCESS,,,,,,2540,BOURBON Automotive Plastic Nitra,PO 4500092941.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
H264713-HEY-260513,0001536630,SUCCESS,,,,,,2701,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H264713-HEY-260513.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
