PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Customer Material Code,Extracted Material Code,Source File
123456,01/01/2024,02/01/2024,Groupe XYZ,Envalior B.V.,,,,X,,,0088104000,Module A,100,units,02/01/2024,,,MA123,image001.png
123456,01/01/2024,02/01/2024,Groupe XYZ,Envalior B.V.,,,,X,,,0088104000,Component B,50,pieces,02/01/2024,,,CB456,image001.png
ERROR,,,,,,,,,,,,Empty OCR,,,,,,,image002.jpg
1014253006,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,不明,,不明,,,,不明,1014253006.pdf
1014340779,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,不明,,個,,,,不明,1014340779.pdf
1014374731,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,未提供,,未提供,,,,未提供,1014374731.pdf
1014374731,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,未提供,,未提供,,,,未提供,1014374731.pdf
1014374731,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,未提供,,未提供,,,,未提供,1014374731_AQMkAGEz.pdf
1014374731,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,未提供,,未提供,,,,未提供,1014374731_AQMkAGEz.pdf
1014458377,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,不明,,不明,,,,不明,1014458377.pdf
1014458377,,,MOLEX LLC,Envalior Japan K.K.,4020004609,,,X,4020004393,MOLEX ELPASO/WOODHEAD,4020004609,不明,,不明,,,,不明,1014458377_AQMkAGEz.pdf
4504063626,23/01/2026,02/02/2026,JPY,Envalior B.V.,,,,X,,,0088104000,25Kg,1,kg,02/02/2026,,,M460101200-R01,4504063626.pdf
4504063626,23/01/2026,02/02/2026,JPY,Envalior B.V.,,,,X,,,0088104000,500 KG,2,kg,03/02/2026,,,M460101200-R01,4504063626.pdf
4504066422,02/02/2026,,JPY,Envalior B.V.,,,,X,,,0088104000,M460100900-R01,1,個,,,,M460100900-R01,4504066422.pdf
T121020125612,2025/06/17,23/07/2025,KunShan_计算机连接器有限公司,Envalior B.V.,,,,X,,,0088104000,PA46 Envalior TS200F6黑,1000,kg,30/07/2025,,,901-22G1-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
T121020125612,2025/06/17,23/07/2025,KunShan_计算机连接器有限公司,Envalior B.V.,,,,X,,,0088104000,StanyI HFX31SW JUST白,1000,kg,23/07/2025,,,901-01M7-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
T121020125612,2025/06/17,23/07/2025,KunShan_计算机连接器有限公司,Envalior B.V.,,,,X,,,0088104000,TS200F6/B-MB DSM PA46 (黑),1000,kg,23/07/2025,,,901-61P9-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
T121020125612,2025/06/17,23/07/2025,KunShan_计算机连接器有限公司,Envalior B.V.,,,,X,,,0088104000,TS200F6/A MB BL69100,1000,kg,30/07/2025,,,901-35R2-002,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf
BE-25-01212,09/05/2025,28/05/2025,MF Folien GmbH,Mf-Folien GmbH,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F-X22092,22000,kg,28/05/2025,,,22,Bestellung BE-25-01212.pdf
BE-25-01212,09/05/2025,28/05/2025,MF Folien GmbH,Mf-Folien GmbH,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,1000 kg Octabin,1,kg,28/05/2025,,,1,Bestellung BE-25-01212.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,kg,12/12/2025,,,Akulon F130-C2,Bestellung BE-25-02803.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,kg,15/12/2025,,,Akulon F130-C2,Bestellung BE-25-02803.pdf
BE-25-02803,01/12/2025,12/12/2025,MF Folien GmbH,Envalior B.V.,4020001301,2500,TA,X,4020001301,MF Folien GmbH,4020001301,Akulon F130-C2,25000,kg,16/12/2025,,,Akulon F130-C2,Bestellung BE-25-02803.pdf
111102,20/01/2026,20/01/2026,Alexander Eisele,Envalior B.V.,,,,X,,,0088104000,F 132-E1,24000,KG,20/01/2026,,,11110201,Bestellung BE25-00880.pdf
121080096837,05/11/2025,16/12/2025,Fuyu Electronical Technology (Huaia,Envalior B.V.,4020010504,2730,TA,X,4020010504,Huai'an Xinning public bonded wareh,4020010504,901-02M8-002,3000,kg,16/12/2025,0000048031,901-02M8-002,DSM PA4T TX1NAT173117PB PA4T,dc85616a-fe9d-4b5c-a902-f43b3eb7b485.pdf
140199,2025/12/15,2026/01/16,未知,Envalior NV,,,,X,,,0088156900,ENVALIOR STANYL TS250F6D-NC NATURAL,1000.000,KG,2026/01/16,,,1014253006,Molex+PO1014253006_20251215_033952.pdf
140199,2025/12/15,2026/01/16,未知,Envalior NV,,,,X,,,0088156900,ENVALIOR STANYL TS25OF6D-NC NATURAL,2208000,YEN,2026/01/26,,,2512-1502,Molex+PO1014253006_20251215_033952.pdf
140199,08/01/2026,16/01/2026,99321-0801,Envalior B.V.,,,,X,,,0088104000,PA46 NYLON 50% GF BLACK,318300,Yen,16/01/2026,,,11A3,Molex+PO1014340779_20260108_081117.pdf
140199,01/01/2026,28/01/2026,I,Envalior NV,,,,X,,,0088156900,STANYL_46HF4550_11000_BLACK,26525,YEN,28/01/2026,,,11A5,Molex+PO1014374731_20260116_113413.pdf
140199,01/01/2026,28/01/2026,I,Envalior NV,,,,X,,,0088156900,STANYL_46HF4550_11000_BLACK,26525,YEN,28/01/2026,,,11A5,Molex+PO1014374731_20260116_113413_AQMkAGEz.pdf
140199,02/05/2026,04/06/2026,"203393 Wako Industry Co., Ltd.",Envalior B.V.,,,,X,,,0088104000,STANYL TS250F6D-9B0040 BLACK PA46 NYLON 30% GF BLACK UL94V-0,114100,YEN,02/19/2026,,,11B1,Molex+PO1014458377_20260205_042506.pdf
140199,02/05/2026,04/06/2026,"203393 Wako Industry Co., Ltd.",Envalior B.V.,,,,X,,,0088104000,STANYL TS250F6D-9B0040 BLACK PA46 NYLON 30% GF BLACK UL94V-0,228200,YEN,04/06/2026,,,11B1,Molex+PO1014458377_20260205_042506.pdf
